Modelo da aeronave;Empresa;Peso de decolagem (kg);Código de Referência;Categoria Contraincêndio;Comprimento básico de pista de aeronave (m)*;Velocidade de aproximação (1.3 x Vs) em nós;Envergadura (m);Distância entre Rodas Externas do Trem de Pouso Principal [OMGWS] (m);Base de rodas [wheel base] (m);Distância da cabine do piloto até o trem de pouso principal (m);Comprimento da Fuselagem (m);Comprimento da Aeronave (m);Empenagem [Altura da Cauda] (m)
777-200;Boeing;247.208;4E;9;2.380;136;60,9;12,9;25,9;28,9;62,9;63,7;18,7
777-200ER;Boeing;297.557;4E;9;2.890;139;60,9;12,9;25,9;28,9;62,9;63,7;18,7
777-200LR;Boeing;347.815;4E;9;3.390;140;64,8;12,9;25,9;28,9;62,9;63,7;18,7
777-300;Boeing;299.371;4E;9;3.140;149;60,9;12,9;31,2;32,3;73,1;73,9;18,7
777-300ER;Boeing;351.534;4E;9;3.060;149;64,8;12,9;31,2;32,3;73,1;73,9;18,8
B787-8;Boeing;219.539;4E;8;2.660;140;60,1;11,6;22,8;25,5;55,9;56,7;16,9
MD-81;Boeing;64.410;4C;7;2.290;134;32,9;6,2;22,1;21,5;41,6;45;9,2
MD-82;Boeing;67.812;4C;7;2.280;134;32,9;6,2;22,1;21,5;41,6;45;9,2
MD-83;Boeing;72.575;4C;7;2.470;144;32,9;6,2;22,1;21,5;41,6;45;9,2
MD-87;Boeing;67.812;4C;7;2.260;134;32,9;6,2;19,2;21,5;36,3;39,8;9,5
MD-88;Boeing;72.575;4C;7;2.470;144;32,9;6,2;22,1;21,5;41,6;45;9,2
MD-90;Boeing;70.760;3C;7;1.800;138;32,9;6,2;23,5;22,9;43;46,5;9,5
MD-11;Boeing;285.990;4D;9;3.130;153;51,97;12,6;24,6;31;58,6;61,6;17,9
DC8-62;Douglas;158.757;4D;7;3.100;138;45,2;7,6;18,5;20,5;46,6;48;13,2
DC9-15;Douglas;41.504;4C;6;1.990;132;27,3;6;13,3;12,7;28,1;31,8;8,4
DC9-20;Douglas;45.813;3C;6;1.560;126;28,4;6;13,3;12,7;28,1;31,8;8,4
DC9-50;Douglas;55.338;4C;7;2.451;135;28,5;5,9;18,6;18;37;40,7;8,8
BOMBARDIER CS100;Bombardier;54.930;3C;7;1.509;127;35,1;8;12,9;13,7;34,9;34,9;11,5
CS100 ER;Bombardier;58.151;3C;7;1.509;127;35,1;8;12,9;13,7;34,9;34,9;11,5
CS300;Bombardier;59.783;4C;7;1.902;133;35,1;8;14,5;15,3;38,1;38,1;11,5
CS300 XT;Bombardier;59.783;3C;7;1.661;133;35,1;8;14,5;15,3;38,1;38,1;11,5
CS300 ER;Bombardier;63.321;4C;7;1.890;133;35,1;8;14,5;15,3;38,1;38,1;11,5
CRJ200ER;Bombardier;23.133;3B;6;1.680;140;21,2;4;11,4;10,8;24,4;26,8;6,3
CRJ200R;Bombardier;24.040;4B;5;1.835;140;21,2;4;11,4;10,8;24,4;26,8;6,3
CRJ700;Bombardier;32.999;3B;6;1.606;135;23,3;5;15;14,4;29,7;32,3;7,6
CRJ700ER;Bombardier;34.019;3B;6;1.724;135;23,3;5;15;14,4;29,7;32,3;7,6
CRJ700R;Bombardier;34.927;4B;6;1.851;136;23,3;5;15;14,4;29,7;32,3;7,6
CRJ900;Bombardier;36.514;3B;6;1.778;136;23,3;5;17,3;16,8;33,5;36,2;7,4
CRJ900ER;Bombardier;37.421;4C;6;1.862;136;24,9;5;17,3;16,8;33,5;36,2;7,4
CRJ900R;Bombardier;38.329;4C;6;1.954;137;24,9;5;17,3;16,8;33,5;36,2;7,4
CRJ1000;Bombardier;40.823;4C;7;1.996;138;26,2;5,1;18,8;18,3;36,2;39,1;7,5
CRJ1000ER;Bombardier;41.640;4C;7;2.079;138;26,2;5,1;18,8;18,3;36,2;39,1;7,5
DHC-8-100;Bombardier;15.650;2C;5;890;101;25,9;7,9;8;6,1;20,8;22,3;7,5
DHC-8-200;Bombardier;16.465;2C;5;1.020;102;25,9;8,5;8;6,1;20,8;22,3;7,5
DHC-8-300;Bombardier;18.643;2C;6;1.063;107;27,4;8,5;10;8,2;24,2;25,7;7,5
DHC-8-400;Bombardier;27.987;3C;6;1.288;125;28,4;8,8;14;12,2;31;32,8;8,3
ERJ 170-100 STD;Embraer;35.990;3C;6;1.439;124;26;6,2;10,6;11,5;29,9;29,9;9,7
ERJ 170-100 LR, SU and SE;Embraer;37.200;3C;6;1.532;124;26;6,2;10,6;11,5;29,9;29,9;9,7
ERJ 170-100 + SB 170-00-0016;Embraer;38.600;3C;6;1.644;125;26;6,2;10,6;11,5;29,9;29,9;9,7
ERJ 170-200 STD;Embraer;37.500;3C;6;1.562;126;26;6,2;11,4;12,3;31,7;31,7;9,7
ER 170-200 LR and SU;Embraer;38.790;3C;6;1.667;126;26;6,2;11,4;12,3;31,7;31,7;9,7
ERJ 170-200 + SB 170-00-0016;Embraer;40.370;4C;6;2.244;126;26;6,2;11,4;12,3;31,7;31,7;9,7
ERJ 190-100 STD;Embraer;47.790;3C;6;1.476;124;28,7;7,1;13,8;14,8;36,3;36,3;10,6
ERJ 190-100 LR;Embraer;50.300;3C;6;1.616;124;28,7;7,1;13,8;14,8;36,3;36,3;10,6
ERJ 190-100 IGW;Embraer;51.800;3C;6;1.704;125;28,7;7,1;13,8;14,8;36,3;36,3;10,6
ERJ 190-200 STD;Embraer;48.790;3C;6;1.597;126;28,7;7,1;14,6;15,6;38,7;38,7;10,5
ERJ 190-200 LR;Embraer;50.790;3C;6;1.721;126;28,7;7,1;14,6;15,6;38,7;38,7;10,5
ERJ 190-200 IGW;Embraer;52.290;4C;6;1.818;128;28,7;7,1;14,6;15,6;38,7;38,7;10,5
ERJ 190-300 (E190-E2);Embraer;56.400;3C;6;1.488;126;33,7;8;12,8;14,5;36,3;36,3;10,7
ERJ 190-400 (E195-E2);Embraer;61.500;3C;7;1.741;133;35,1;8;15,7;17,4;41,6;41,6;10,8
ATR 72-212A (600) (RTO);ATR;22.000;2C;5;1.180;113;27,05;4,1;10,79;10,79;27,17;27,17;7,72
ATR 72-212A (600) (RTO);ATR;23.000;3C;5;1.320;113;27,05;4,1;10,79;10,79;27,17;27,17;7,72
ATR 72-212A (600);ATR;23.000;3C;5;1.366;113;27,05;4,1;10,79;10,79;27,17;27,17;7,72
ATR 72;ATR;21.500;3C;5;1.410;113;27,05;4,1;10,79;10,79;27,17;27,17;7,72
ATR 42-300;ATR;16.700;2C;4;1.090;99;24,57;4,1;8,78;8,78;22,67;22,67;7,59
